"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2026","4,540.07","4,626.45","4,773.83","4,500.85","","-1.79%"
"04/01/2026","4,622.59","4,672.02","4,889.70","4,509.96","","-1.06%"
"03/01/2026","4,672.01","5,376.69","5,419.25","4,098.87","","-11.48%"
"02/01/2026","5,277.90","4,799.72","5,279.56","4,404.12","","8.48%"
"01/01/2026","4,865.35","4,333.00","5,595.46","4,310.01","","12.75%"
"12/01/2025","4,315.09","4,223.93","4,550.50","4,163.01","","2.00%"
"11/01/2025","4,230.63","4,002.28","4,245.20","3,928.66","","5.71%"
"10/01/2025","4,002.28","3,858.84","4,381.60","3,819.51","","3.73%"
"09/01/2025","3,858.51","3,448.00","3,871.87","3,436.80","","11.91%"
"08/01/2025","3,448.00","3,290.83","3,454.08","3,281.55","","4.79%"
"07/01/2025","3,290.32","3,302.87","3,439.09","3,268.15","","-0.40%"
"06/01/2025","3,303.69","3,289.80","3,451.62","3,247.86","","0.43%"
"05/01/2025","3,289.40","3,288.55","3,438.59","3,120.52","","0.02%"
"04/01/2025","3,288.59","3,123.36","3,500.33","2,956.60","","5.29%"
"03/01/2025","3,123.35","2,856.71","3,128.29","2,855.63","","9.26%"
"02/01/2025","2,858.77","2,801.40","2,956.37","2,771.69","","2.06%"
"01/01/2025","2,801.18","2,626.61","2,817.57","2,614.60","","6.76%"
"12/01/2024","2,623.81","2,653.82","2,726.31","2,583.49","","-1.12%"
"11/01/2024","2,653.55","2,742.50","2,762.30","2,536.90","","-3.29%"
"10/01/2024","2,743.80","2,635.41","2,790.41","2,604.15","","4.15%"
"09/01/2024","2,634.49","2,502.74","2,685.96","2,471.95","","5.25%"
"08/01/2024","2,503.03","2,448.10","2,532.05","2,364.40","","2.24%"
"07/01/2024","2,448.10","2,326.46","2,483.78","2,318.55","","5.26%"
"06/01/2024","2,325.71","2,329.61","2,387.85","2,286.77","","-0.05%"
